"timestamp","phase","elapsed_sec","query_result","adapterIndex","workgraph_pid","CLK_GFXCLK_supported","CLK_GFXCLK","CLK_MEMCLK_supported","CLK_MEMCLK","CLK_SOCCLK_supported","CLK_SOCCLK","TEMP_EDGE_supported","TEMP_EDGE","TEMP_MEM_supported","TEMP_MEM","ACTIVITY_GFX_supported","ACTIVITY_GFX","ACTIVITY_MEM_supported","ACTIVITY_MEM","GFX_VOLTAGE_supported","GFX_VOLTAGE","ASIC_POWER_supported","ASIC_POWER","TEMP_HOTSPOT_supported","TEMP_HOTSPOT","TEMP_GFX_supported","TEMP_GFX","TEMP_SOC_supported","TEMP_SOC","GFX_POWER_supported","GFX_POWER","GFX_CURRENT_supported","GFX_CURRENT","THROTTLER_STATUS_supported","THROTTLER_STATUS","BUS_SPEED_supported","BUS_SPEED","BUS_LANES_supported","BUS_LANES","THROTTLE_POWER_supported","THROTTLE_POWER","THROTTLE_TDC_supported","THROTTLE_TDC","THROTTLE_VMAX_supported","THROTTLE_VMAX","BUS_CURR_MAX_SPEED_supported","BUS_CURR_MAX_SPEED","BOARD_POWER_supported","BOARD_POWER"
"2026-05-28T21:10:31.2090387+08:00","during_workgraph","5.134","0","5","32836","1","1473","1","163","0","0","1","36","1","39","1","37","1","4","1","706","0","0","1","45","0","0","0","0","0","0","0","0","0","0","1","3","1","16","1","0","1","0","1","0","0","0","1","33"
"2026-05-28T21:10:31.2730406+08:00","during_workgraph","5.197","0","5","32836","1","1479","1","172","0","0","1","36","1","40","1","38","1","4","1","707","0","0","1","45","0","0","0","0","0","0","0","0","0","0","1","3","1","16","1","0","1","0","1","0","0","0","1","34"
"2026-05-28T21:10:31.3355542+08:00","during_workgraph","5.259","0","5","32836","1","1481","1","172","0","0","1","36","1","40","1","37","1","4","1","707","0","0","1","45","0","0","0","0","0","0","0","0","0","0","1","3","1","16","1","0","1","0","1","0","0","0","1","34"
"2026-05-28T21:10:31.3965516+08:00","during_workgraph","5.321","0","5","32836","1","1472","1","163","0","0","1","36","1","40","1","35","1","4","1","705","0","0","1","45","0","0","0","0","0","0","0","0","0","0","1","3","1","16","1","0","1","0","1","0","0","0","1","33"
"2026-05-28T21:10:31.4595541+08:00","during_workgraph","5.383","0","5","32836","1","1464","1","153","0","0","1","36","1","40","1","31","1","3","1","702","0","0","1","45","0","0","0","0","0","0","0","0","0","0","1","3","1","16","1","0","1","0","1","0","0","0","1","31"
"2026-05-28T21:10:31.5231219+08:00","during_workgraph","5.447","0","5","32836","1","1495","1","155","0","0","1","36","1","39","1","39","1","3","1","707","0","0","1","45","0","0","0","0","0","0","0","0","0","0","1","3","1","16","1","0","1","0","1","0","0","0","1","32"
"2026-05-28T21:10:31.5871324+08:00","during_workgraph","5.511","0","5","32836","1","1482","1","166","0","0","1","37","1","38","1","38","1","3","1","707","0","0","1","45","0","0","0","0","0","0","0","0","0","0","1","3","1","16","1","0","1","0","1","0","0","0","1","32"
"2026-05-28T21:10:31.6511344+08:00","during_workgraph","5.575","0","5","32836","1","1478","1","165","0","0","1","36","1","38","1","37","1","3","1","703","0","0","1","45","0","0","0","0","0","0","0","0","0","0","1","3","1","16","1","0","1","0","1","0","0","0","1","33"
"2026-05-28T21:10:31.7151329+08:00","during_workgraph","5.639","0","5","32836","1","1464","1","143","0","0","1","36","1","39","1","32","1","3","1","703","0","0","1","45","0","0","0","0","0","0","0","0","0","0","1","3","1","16","1","0","1","0","1","0","0","0","1","29"
"2026-05-28T21:10:31.7757609+08:00","during_workgraph","5.7","0","5","32836","1","1452","1","149","0","0","1","36","1","40","1","31","1","3","1","703","0","0","1","45","0","0","0","0","0","0","0","0","0","0","1","3","1","16","1","0","1","0","1","0","0","0","1","31"
